listed_technology,simple_tech
GenomeDetective1.132,Not_listed
Illumina,Illumina
IlluminaHiSeq,Illumina
IlluminaHiseq,Illumina
IlluminaiSeq,Illumina
IlluminaiSeq-100,Illumina
IlluminaIseq100,Illumina
IlluminaiSeq100,Illumina
IlluminaMiniSeq,Illumina
IlluminaMiSeq,Illumina
IlluminaMiseq,Illumina
illuminaMiseq,Illumina
IlluminaMiSeq/Sanger,Illumina
IlluminaMiSeqandIlluminaiSeq,Illumina
IlluminaMiSeqandiSeq,Illumina
IlluminaMiSeqDX,Illumina
IlluminaMiSeqDx,Illumina
IlluminaMiSeqMinION,Illumina
IlluminaMiseqNanoporeMinION,Illumina
IlluminaMiseqSanger,Illumina
IlluminaNextSeq,Illumina
IlluminaNextseq,Illumina
IlluminaNextSeq2000,Illumina
IlluminaNextSeq500,Illumina
IlluminaNextSeq501,Illumina
IlluminaNextSeq502,Illumina
IlluminaNextSeq503,Illumina
IlluminaNextSeq504,Illumina
IlluminaNextSeq505,Illumina
IlluminaNextSeq506,Illumina
IlluminaNextSeq507,Illumina
IlluminaNextSeq508,Illumina
IlluminaNextSeq509,Illumina
IlluminaNextSeq510,Illumina
IlluminaNextSeq511,Illumina
IlluminaNextSeq512,Illumina
IlluminaNextSeq513,Illumina
IlluminaNextSeq514,Illumina
IlluminaNextSeq515,Illumina
IlluminaNextSeq516,Illumina
IlluminaNextSeq517,Illumina
IlluminaNextSeq518,Illumina
IlluminaNextSeq519,Illumina
IlluminaNextSeq520,Illumina
IlluminaNextSeq521,Illumina
IlluminaNextSeq522,Illumina
IlluminaNextSeq523,Illumina
IlluminaNextSeq524,Illumina
IlluminaNextSeq525,Illumina
IlluminaNextSeq526,Illumina
IlluminaNextSeq527,Illumina
IlluminaNextSeq528,Illumina
IlluminaNextSeq529,Illumina
IlluminaNextSeq530,Illumina
IlluminaNextSeq531,Illumina
IlluminaNextSeq532,Illumina
IlluminaNextSeq533,Illumina
IlluminaNextSeq534,Illumina
IlluminaNextSeq535,Illumina
IlluminaNextSeq536,Illumina
IlluminaNextSeq537,Illumina
IlluminaNextSeq538,Illumina
IlluminaNextSeq539,Illumina
IlluminaNextSeq540,Illumina
IlluminaNextSeq541,Illumina
IlluminaNextSeq542,Illumina
IlluminaNextSeq543,Illumina
IlluminaNextSeq544,Illumina
IlluminaNextSeq545,Illumina
IlluminaNextSeq546,Illumina
IlluminaNextSeq547,Illumina
IlluminaNextSeq548,Illumina
IlluminaNextSeq549,Illumina
IlluminaNextseq550,Illumina
IlluminaNextSeq550,Illumina
IlluminaNextSeq551,Illumina
IlluminaNextSeq552,Illumina
IlluminaNextSeq553,Illumina
IlluminaNextSeq554,Illumina
IlluminaNextSeq555,Illumina
IlluminaNextSeq556,Illumina
IlluminaNextSeq557,Illumina
IlluminaNextSeq558,Illumina
IlluminaNextSeq559,Illumina
IlluminaNextSeq560,Illumina
IlluminaNextSeq561,Illumina
IlluminaNextSeq562,Illumina
IlluminaNextSeq563,Illumina
IlluminaNextSeq564,Illumina
IlluminaNextSeq565,Illumina
IlluminaNextSeq566,Illumina
IlluminaNextSeq567,Illumina
IlluminaNextSeq568,Illumina
IlluminaNextSeq569,Illumina
IlluminaNextSeq570,Illumina
IlluminaNextSeq571,Illumina
IlluminaNextSeq572,Illumina
IlluminaNextSeq573,Illumina
IlluminaNextSeq574,Illumina
IlluminaNextSeq575,Illumina
IlluminaNextSeq576,Illumina
IlluminaNextSeq577,Illumina
IlluminaNextSeq578,Illumina
IlluminaNextSeq579,Illumina
IlluminaNextSeq580,Illumina
IlluminaNextSeq581,Illumina
IlluminaNextSeq582,Illumina
IlluminaNextSeq583,Illumina
IlluminaNextSeq584,Illumina
IlluminaNextSeq585,Illumina
IlluminaNextSeq586,Illumina
IlluminaNextSeq587,Illumina
IlluminaNextSeq588,Illumina
IlluminaNextSeq589,Illumina
IlluminaNextSeq590,Illumina
IlluminaNextSeq591,Illumina
IlluminaNextSeq592,Illumina
IlluminaNextSeq593,Illumina
IlluminaNextSeq594,Illumina
IlluminaNextSeq595,Illumina
IlluminaNextSeq596,Illumina
IlluminaNextSeq597,Illumina
