strain,Sequencing_technology,Primers_used,simple_strain,Primers
Morocco/AZ183/2020,Miseq,ARTIC_V2,AZ183,
Morocco/CA24/2020,Miseq,ARTIC_V2,CA24,
Morocco/Sett44/2020,Illumina MiSeq,ARTIC_V2,Sett44,
Morocco/TANG183/2020,Illumina MiSeq,ARTIC_V2,TANG183,
Morocco/moh100/2020,Miseq,ARTIC_V2,moh100,
Mozambique/KRISP-MZ154276/2020,Illumina MiSeq,ARTIC_V2,KRISP-MZ154276,
Mozambique/KRISP-MZ154278/2020,Illumina MiSeq,ARTIC_V2,KRISP-MZ154278,
Mozambique/KRISP-MZ155093/2020,Illumina MiSeq,ARTIC_V2,KRISP-MZ155093,
Mozambique/KRISP-MZ157469/2020,Illumina MiSeq,ARTIC_V2,KRISP-MZ157469,
Mozambique/KRISP-MZ157470/2020,Illumina MiSeq,ARTIC_V2,KRISP-MZ157470,
Mozambique/KRISP-MZ158905/2020,Illumina MiSeq,ARTIC_V2,KRISP-MZ158905,
Mozambique/KRISP-MZ158971/2020,Illumina MiSeq,ARTIC_V2,KRISP-MZ158971,
SouthAfrica/KRISP-0001/2020,Illumina Miseq,ARTIC_V2,KRISP-0001,
SouthAfrica/KRISP-0016/2020,Illumina Miseq,ARTIC_V2,KRISP-0016,
SouthAfrica/KRISP-0017/2020,Illumina Miseq,ARTIC_V2,KRISP-0017,
SouthAfrica/KRISP-0019/2020,Illumina Miseq,ARTIC_V2,KRISP-0019,
SouthAfrica/KRISP-0021/2020,Illumina Miseq,ARTIC_V2,KRISP-0021,
SouthAfrica/KRISP-0024/2020,Illumina Miseq,ARTIC_V2,KRISP-0024,
SouthAfrica/KRISP-0026/2020,Illumina Miseq,ARTIC_V2,KRISP-0026,
SouthAfrica/KRISP-0028/2020,Illumina Miseq,ARTIC_V2,KRISP-0028,
SouthAfrica/KRISP-0029/2020,Illumina Miseq,ARTIC_V2,KRISP-0029,
SouthAfrica/KRISP-003/2020,Illumina Miseq,ARTIC_V2,KRISP-003,
